Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Quarter,Referred a Friend,Number of Referrals,AccountLength,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,PaymentMethod,Monthly Charge,ServiceUsage,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Label,Churn Score,CLTV,Churn Category,Churn Reason
0334-GDDSO,Male,77,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0,0,27.66,261.36,1,Churned,Yes,73,2818,Competitor,Competitor made better offer
5564-NEMQO,Female,80,No,Yes,No,No,0,United States,California,Thermal,92274,33.53604,-116.119222,17018,Q3,No,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0,20,35.09,130.39,2,Churned,Yes,67,4902,Dissatisfaction,Network reliability
6235-VDHOM,Female,77,No,Yes,No,No,0,United States,California,Riverside,92509,34.004379,-117.447864,63999,Q3,No,0,5,Offer E,No,0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0,0,0,131.05,2,Churned,Yes,89,4099,Dissatisfaction,Limited range of services
5609-CEBID,Female,77,No,Yes,No,No,0,United States,California,Hemet,92544,33.644585,-116.871544,39264,Q3,No,0,20,,Yes,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0,80,974.6,2837,1,Churned,Yes,87,2666,Competitor,Competitor had better devices
5956-VKDTT,Female,72,No,Yes,Yes,No,0,United States,California,Moreno Valley,92557,33.970661,-117.255039,46214,Q3,Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0,0,228.8,563.6,1,Churned,Yes,82,5273,Dissatisfaction,Product dissatisfaction
0257-ZESQC,Female,80,No,Yes,Yes,No,0,United States,California,Perris,92571,33.828289,-117.201666,26357,Q3,Yes,2,27,,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0,0,189.54,2118.89,1,Churned,Yes,91,4517,Attitude,Attitude of support person
2865-TCHJW,Female,74,No,Yes,No,No,0,United States,California,Anaheim,92807,33.848733,-117.788357,36301,Q3,No,0,4,,Yes,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0,0,193.4,539.6,1,Churned,Yes,74,5808,Competitor,Competitor had better devices
5192-EBGOV,Female,68,No,Yes,No,No,0,United States,California,Brea,92823,33.924143,-117.79387,1408,Q3,No,0,1,,Yes,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0,0,45.81,131.51,1,Churned,Yes,66,4880,Competitor,Competitor had better devices
3419-SNJJD,Female,78,No,Yes,Yes,No,0,United States,California,Yorba Linda,92887,33.884073,-117.732197,20893,Q3,Yes,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0,0,1195.35,7981.75,1,Churned,No,91,4196,Attitude,Attitude of support person
4554-YGZIH,Male,75,No,Yes,Yes,No,0,United States,California,Summerland,93067,34.420998,-119.60137,576,Q3,Yes,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0,0,1123.08,5670.33,2,Churned,No,96,5059,Competitor,Competitor made better offer
5099-BAILX,Male,77,No,Yes,Yes,No,0,United States,California,Santa Barbara,93101,34.419203,-119.710008,31727,Q3,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0,0,624.36,5312.26,2,Churned,No,65,2728,Competitor,Competitor made better offer
4913-EHYUI,Male,80,No,Yes,Yes,No,0,United States,California,Alpaugh,93201,35.869626,-119.498771,1054,Q3,No,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0,0,2732.8,8527.45,1,Churned,No,91,6268,Competitor,Competitor offered higher download speeds
1626-ERCMM,Male,75,No,Yes,Yes,No,0,United States,California,Camp Nelson,93208,36.057458,-118.591951,191,Q3,Yes,7,20,,Yes,5.31,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0,0,106.2,2005.85,1,Churned,Yes,84,5604,Competitor,Competitor had better devices
5644-PDMZC,Female,69,No,Yes,No,No,0,United States,California,Delano,93215,35.772244,-119.209689,37280,Q3,No,0,2,,Yes,47.47,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,0,0,94.94,256.44,2,Churned,Yes,80,2065,Attitude,Attitude of support person
4160-AMJTL,Female,74,No,Yes,No,No,0,United States,California,Fellows,93224,35.215731,-119.57013,626,Q3,No,0,8,,Yes,27.95,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0,0,223.6,387.9,2,Churned,Yes,83,5432,Attitude,Attitude of support person
0823-HSCDJ,Male,76,No,Yes,No,No,0,United States,California,Temecula,92592,33.507255,-117.029473,46171,Q3,No,0,52,,No,0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0,30,0,2580.9,2,Churned,No,90,5597,Competitor,Competitor made better offer
0067-DKWBL,Male,69,No,Yes,No,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Q3,No,0,2,,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0,0,87.98,179.08,2,Churned,Yes,95,3475,Competitor,Competitor made better offer
5244-IRFIH,Male,72,No,Yes,Yes,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Q3,Yes,1,33,,Yes,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0,0,916.74,4022.29,3,Churned,No,91,4333,Other,Poor expertise of online support
2684-EIWEO,Female,69,No,Yes,No,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Q3,No,0,30,,Yes,45.88,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,0,0,1376.4,4134.55,1,Churned,Yes,90,2482,Competitor,Competitor made better offer
6683-VLCTZ,Male,73,No,Yes,No,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Q3,No,0,20,,Yes,44.44,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0,120,888.8,2851.6,3,Churned,Yes,92,5444,Competitor,Competitor made better offer
0691-IFBQW,Female,65,No,Yes,No,No,0,United States,California,Biola,93606,36.798882,-120.019511,807,Q3,No,0,46,,Yes,2.37,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110,4874.8,0,0,109.02,4983.82,1,Churned,No,81,2403,Competitor,Competitor made better offer
3643-AHCFP,Male,74,No,Yes,Yes,No,0,United States,California,Selma,93662,36.545322,-119.642281,26213,Q3,Yes,1,7,,Yes,21.91,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,0,0,153.37,797.72,3,Churned,Yes,83,3265,Competitor,Competitor made better offer
9231-ZJYAM,Female,65,No,Yes,No,No,0,United States,California,Squaw Valley,93675,36.719141,-119.202677,3146,Q3,No,0,4,,Yes,36.93,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,0,0,147.72,440.52,3,Churned,Yes,72,5301,Other,Moved
0727-BMPLR,Female,66,No,Yes,No,No,0,United States,California,Fresno,93706,36.654614,-119.903674,35790,Q3,No,0,55,,Yes,37.38,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100,5509.3,0,100,2055.9,7665.2,3,Churned,No,83,5679,Competitor,Competitor offered higher download speeds
0947-MUGVO,Male,71,No,Yes,Yes,No,0,United States,California,Jolon,93928,35.930782,-121.189757,254,Q3,Yes,1,20,,Yes,5.37,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0,0,107.4,1570.9,1,Churned,Yes,95,5849,Competitor,Competitor had better devices
0781-LKXBR,Male,65,No,Yes,No,No,0,United States,California,San Francisco,94102,37.7795,-122.419233,28998,Q3,No,0,9,,Yes,48.71,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,0,0,438.39,1356.99,1,Churned,Yes,70,4038,Competitor,Competitor had better devices
1907-UBQFC,Male,69,No,Yes,No,No,0,United States,California,San Francisco,94108,37.791998,-122.408653,13723,Q3,No,0,10,,Yes,5.46,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,0,30,54.6,773.25,1,Churned,Yes,91,3189,Competitor,Competitor had better devices
6513-EECDB,Male,75,No,Yes,Yes,No,0,United States,California,San Francisco,94114,37.758085,-122.434801,30587,Q3,No,0,1,,Yes,36.92,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,73.55,0,0,36.92,110.47,2,Churned,Yes,94,4369,Price,Price too high
7074-IEVOJ,Female,75,No,Yes,No,No,0,United States,California,San Francisco,94130,37.820894,-122.369725,1458,Q3,No,0,3,,Yes,41.9,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,0,0,125.7,330.75,1,Churned,Yes,91,3501,Dissatisfaction,Product dissatisfaction
4750-ZRXIU,Female,68,No,Yes,No,No,0,United States,California,Palo Alto,94304,37.386978,-122.177746,1723,Q3,No,0,4,,Yes,6.68,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0,0,26.72,386.82,1,Churned,Yes,83,2467,Competitor,Competitor had better devices
7028-DVOIQ,Male,71,No,Yes,No,No,0,United States,California,Birds Landing,94512,38.140719,-121.838298,138,Q3,No,0,35,,Yes,20.83,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,0,120,729.05,4244.85,1,Churned,No,82,2074,Other,Don't know
4208-UFFGW,Male,80,No,Yes,No,No,0,United States,California,Byron,94514,37.83323,-121.601461,10153,Q3,No,0,2,Offer E,Yes,26.62,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,0,0,53.24,138.39,2,Churned,Yes,84,5900,Other,Don't know
9889-TMAHG,Male,66,No,Yes,No,No,0,United States,California,Fremont,94539,37.516791,-121.899117,46917,Q3,No,0,8,,Yes,11.57,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35,0,0,92.56,924.91,1,Churned,Yes,74,5084,Competitor,Competitor had better devices
8919-FYFQZ,Male,73,No,Yes,Yes,No,0,United States,California,Livermore,94550,37.571748,-121.659562,75929,Q3,Yes,2,44,,No,0,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0,0,0,1359.7,1,Churned,No,96,4829,Competitor,Competitor had better devices
6646-QVXLR,Male,77,No,Yes,Yes,No,0,United States,California,Napa,94558,38.489789,-122.27011,63947,Q3,Yes,1,62,,Yes,7.11,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,0,0,440.82,6824.17,1,Churned,No,91,5052,Competitor,Competitor had better devices
9369-XFEHK,Female,76,No,Yes,Yes,No,0,United States,California,Pleasanton,94566,37.633361,-121.862395,36669,Q3,Yes,1,33,,Yes,33.19,Yes,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5,0,0,1095.27,3751.77,2,Churned,No,72,3601,Competitor,Competitor offered more data
1374-DMZUI,Female,65,No,Yes,No,No,0,United States,California,San Ramon,94583,37.766556,-121.976784,44078,Q3,No,0,4,Offer E,Yes,49.5,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,0,0,198,622.45,2,Churned,Yes,91,5419,Competitor,Competitor made better offer
1989-PRJHP,Male,75,No,Yes,Yes,No,0,United States,California,Pleasanton,94588,37.685052,-121.912061,28568,Q3,Yes,1,27,,Yes,10.6,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0,0,286.2,2180.15,1,Churned,Yes,65,2377,Competitor,Competitor had better devices
4822-RVYBB,Male,75,No,Yes,No,No,0,United States,California,Berkeley,94704,37.871416,-122.246597,21205,Q3,No,0,8,Offer E,Yes,40.45,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0,0,323.6,1143,1,Churned,Yes,90,5906,Attitude,Attitude of support person
4184-TJFAN,Female,68,No,Yes,Yes,No,0,United States,California,Berkeley,94707,37.897753,-122.279391,11889,Q3,Yes,1,3,Offer E,Yes,25.77,No,Yes,Fiber Optic,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,273.75,0,0,77.31,351.06,1,Churned,Yes,68,4486,Attitude,Attitude of support person
4145-UQXUQ,Female,71,No,Yes,No,No,0,United States,California,Berkeley,94710,37.872902,-122.303708,8157,Q3,No,0,8,Offer E,Yes,42.93,No,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0,0,343.44,1073.39,1,Churned,Yes,81,5662,Competitor,Competitor had better devices
1236-WFCDV,Male,74,No,Yes,No,No,0,United States,California,Greenbrae,94904,37.946617,-122.563571,12010,Q3,No,0,14,,Yes,11.31,No,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,0,0,158.34,1424.44,3,Churned,Yes,96,4777,Competitor,Competitor offered more data
1271-SJBGZ,Male,77,No,Yes,No,No,0,United States,California,Forest Knolls,94933,38.010092,-122.689442,1025,Q3,No,0,12,,No,0,No,Yes,DSL,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,0,0,0,526.95,1,Churned,Yes,74,2437,Competitor,Competitor had better devices
4441-NIHPT,Female,73,No,Yes,No,No,0,United States,California,Freedom,95019,36.936228,-121.785559,4753,Q3,No,0,13,,Yes,40.37,No,Yes,Fiber Optic,21,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,0,0,524.81,1465.16,1,Churned,Yes,90,2995,Competitor,Competitor had better devices
8999-BOHSE,Female,68,No,Yes,No,No,0,United States,California,Gilroy,95020,37.03889,-121.528955,49968,Q3,No,0,11,,Yes,3.96,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,0,0,43.56,1091.26,2,Churned,Yes,89,2202,Attitude,Attitude of support person
